Player,Year,Pos,PPG,APG,RPG,BPG,SPG,PER,TS%,Score,Label
Mark Acres,1990,C,4.525,0.8375,5.3875,0.3125,0.45,8.3,0.536,3.4561750000000004,Reserva
Michael Adams,1990,PG,15.455696202531646,6.265822784810126,2.848101265822785,0.0379746835443038,1.5316455696202531,15.4,0.542,8.421162025316455,Reserva
Mark Aguirre,1990,SF,14.08974358974359,1.858974358974359,3.91025641025641,0.24358974358974358,0.4358974358974359,15.8,0.544,7.501323076923077,Reserva
Danny Ainge,1990,PG,17.893333333333334,6.04,4.346666666666667,0.24,1.5066666666666666,16.1,0.528,9.055133333333332,Reserva
Mark Alarie,1990,PF,10.487804878048781,1.7317073170731707,4.560975609756097,0.47560975609756095,0.7317073170731707,14.1,0.51,6.345268292682928,Reserva
Steve Alford,1990,PG,4.097560975609756,0.9512195121951219,0.6097560975609756,0.07317073170731707,0.36585365853658536,18.7,0.544,4.216717073170732,Reserva
Randy Allen,1990,SG,3.7301587301587302,0.36507936507936506,2.1904761904761907,0.30158730158730157,0.25396825396825395,8.4,0.456,2.36591746031746,Reserva
Greg Anderson,1990,PF,8.816666666666666,0.4,6.216666666666667,0.9,0.5333333333333333,13.0,0.522,6.033866666666667,Reserva
Nick Anderson,1990,SG,11.493827160493828,1.5308641975308641,3.9012345679012346,0.41975308641975306,0.8518518518518519,14.9,0.536,5.69785925925926,Reserva
Richard Anderson,1990,PF,4.277777777777778,1.0185185185185186,2.3518518518518516,0.16666666666666666,0.37037037037037035,13.3,0.522,3.8546074074074075,Reserva
Ron Anderson,1990,SF,11.871794871794872,1.8333333333333333,3.782051282051282,0.16666666666666666,0.9230769230769231,13.9,0.499,6.561823076923077,Reserva
Willie Anderson,1990,SG,15.707317073170731,4.439024390243903,4.536585365853658,0.7073170731707317,1.353658536585366,15.2,0.532,7.8136878048780485,Reserva
Michael Ansley,1990,SF,8.694444444444445,0.5555555555555556,5.027777777777778,0.2361111111111111,0.3333333333333333,17.3,0.554,6.321233333333334,Reserva
B.J. Armstrong,1990,PG,5.580246913580247,2.45679012345679,1.2592592592592593,0.07407407407407407,0.5679012345679012,11.9,0.53,4.092938271604938,Reserva
John Bagley,1990,PG,4.2592592592592595,5.481481481481482,1.6481481481481481,0.07407407407407407,0.7407407407407407,10.8,0.489,4.652233333333333,Reserva
Thurl Bailey,1990,SF,14.170731707317072,1.670731707317073,5.0,1.2195121951219512,0.3902439024390244,13.4,0.527,7.474895121951219,Reserva
Ken Bannister,1990,PF,3.9615384615384617,0.34615384615384615,2.1538461538461537,0.1346153846153846,0.3269230769230769,7.6,0.492,2.8545846153846153,Reserva
Charles Barkley*,1990,SF,25.17721518987342,3.8860759493670884,11.50632911392405,0.6329113924050633,1.8734177215189873,27.1,0.661,14.23616329113924,Role Player
Dana Barros,1990,PG,9.654320987654321,2.5308641975308643,1.6296296296296295,0.012345679012345678,0.654320987654321,12.8,0.497,5.2690827160493825,Reserva
John Battle,1990,SG,10.9,2.566666666666667,1.65,0.05,0.4666666666666667,12.6,0.542,5.5675333333333334,Reserva
Kenny Battle,1990,SG,4.101694915254237,0.6440677966101694,2.1016949152542375,0.1864406779661017,0.5932203389830508,12.2,0.587,3.1395474576271183,Reserva
William Bedford,1990,C,2.8095238095238093,0.09523809523809523,1.380952380952381,0.40476190476190477,0.07142857142857142,9.5,0.438,2.0492809523809523,Reserva
Benoit Benjamin,1990,C,13.507042253521126,2.23943661971831,9.253521126760564,2.6338028169014085,0.8309859154929577,16.7,0.578,7.8348154929577465,Reserva
Winston Bennett,1990,SF,6.1454545454545455,0.9818181818181818,3.418181818181818,0.18181818181818182,0.41818181818181815,10.0,0.515,4.138772727272728,Reserva
