Player,Year,Pos,G,MP,PPG,APG,RPG,BPG,SPG,TPG,PER,TS%,BPM,3PAr,TRB,TRB%,ORB,DRB,AST,AST%,STL,STL%,BLK,BLK%,FG%,eFG%,FT%
Mark Acres,1990,C,80,1691.0,4.525,0.8375,5.3875,0.3125,0.45,0.875,8.3,0.536,-2.0,0.014,431.0,13.4,154.0,277.0,67,5.0,36.0,1.0,25.0,0.8,0.484,0.489,0.692
Michael Adams,1990,PG,79,2690.0,15.455696202531646,6.265822784810126,2.848101265822785,0.0379746835443038,1.5316455696202531,1.7848101265822784,15.4,0.542,1.7,0.437,225.0,4.4,49.0,176.0,495,23.3,121.0,2.0,3.0,0.1,0.402,0.482,0.85
Mark Aguirre,1990,SF,78,2005.0,14.08974358974359,1.858974358974359,3.91025641025641,0.24358974358974358,0.4358974358974359,1.5512820512820513,15.8,0.544,0.6,0.104,305.0,8.7,117.0,188.0,145,11.6,34.0,0.9,19.0,0.6,0.488,0.505,0.756
Danny Ainge,1990,PG,75,2727.0,17.893333333333334,6.04,4.346666666666667,0.24,1.5066666666666666,2.466666666666667,16.1,0.528,1.6,0.25,326.0,6.8,69.0,257.0,453,25.5,113.0,2.1,18.0,0.4,0.438,0.485,0.831
Mark Alarie,1990,PF,82,1893.0,10.487804878048781,1.7317073170731707,4.560975609756097,0.47560975609756095,0.7317073170731707,1.2317073170731707,14.1,0.51,-1.0,0.062,374.0,10.7,151.0,223.0,142,10.5,60.0,1.5,39.0,1.2,0.473,0.479,0.812
Steve Alford,1990,PG,41,302.0,4.097560975609756,0.9512195121951219,0.6097560975609756,0.07317073170731707,0.36585365853658536,0.3902439024390244,18.7,0.544,-1.0,0.159,25.0,4.7,2.0,23.0,39,21.2,15.0,2.5,3.0,0.6,0.457,0.482,0.946
Randy Allen,1990,SG,63,746.0,3.7301587301587302,0.36507936507936506,2.1904761904761907,0.30158730158730157,0.25396825396825395,0.4444444444444444,8.4,0.456,-5.9,0.029,138.0,10.5,49.0,89.0,23,4.4,16.0,1.1,19.0,1.5,0.444,0.444,0.535
Greg Anderson,1990,PF,60,1291.0,8.816666666666666,0.4,6.216666666666667,0.9,0.5333333333333333,1.3333333333333333,13.0,0.522,-4.8,0.0,373.0,16.6,112.0,261.0,24,2.7,32.0,1.2,54.0,2.6,0.507,0.507,0.535
Nick Anderson,1990,SG,81,1785.0,11.493827160493828,1.5308641975308641,3.9012345679012346,0.41975308641975306,0.8518518518518519,1.7037037037037037,14.9,0.536,-1.7,0.023,316.0,9.3,107.0,209.0,124,10.5,69.0,1.8,34.0,1.0,0.494,0.495,0.705
Richard Anderson,1990,PF,54,604.0,4.277777777777778,1.0185185185185186,2.3518518518518516,0.16666666666666666,0.37037037037037035,0.48148148148148145,13.3,0.522,-0.1,0.474,127.0,11.9,33.0,94.0,55,13.4,20.0,1.6,9.0,0.9,0.417,0.505,0.783
Ron Anderson,1990,SF,78,2089.0,11.871794871794872,1.8333333333333333,3.782051282051282,0.16666666666666666,0.9230769230769231,1.0,13.9,0.499,-1.6,0.025,295.0,8.0,81.0,214.0,143,10.0,72.0,1.7,13.0,0.4,0.451,0.452,0.838
Willie Anderson,1990,SG,82,2788.0,15.707317073170731,4.439024390243903,4.536585365853658,0.7073170731707317,1.353658536585366,2.4146341463414633,15.2,0.532,1.4,0.024,372.0,7.5,115.0,257.0,364,19.6,111.0,1.9,58.0,1.3,0.492,0.495,0.748
Michael Ansley,1990,SF,72,1221.0,8.694444444444445,0.5555555555555556,5.027777777777778,0.2361111111111111,0.3333333333333333,0.6944444444444444,17.3,0.554,-1.5,0.0,362.0,15.6,187.0,175.0,40,4.8,24.0,0.9,17.0,0.8,0.497,0.497,0.722
B.J. Armstrong,1990,PG,81,1291.0,5.580246913580247,2.45679012345679,1.2592592592592593,0.07407407407407407,0.5679012345679012,1.0246913580246915,11.9,0.53,-4.8,0.015,102.0,4.7,19.0,83.0,199,20.7,46.0,1.8,6.0,0.3,0.485,0.489,0.885
John Bagley,1990,PG,54,1095.0,4.2592592592592595,5.481481481481482,1.6481481481481481,0.07407407407407407,0.7407407407407407,1.6666666666666667,10.8,0.489,-4.2,0.083,89.0,4.5,26.0,63.0,296,33.3,40.0,1.8,4.0,0.2,0.459,0.461,0.744
Thurl Bailey,1990,SF,82,2583.0,14.170731707317072,1.670731707317073,5.0,1.2195121951219512,0.3902439024390244,1.6951219512195121,13.4,0.527,-0.7,0.008,410.0,9.3,116.0,294.0,137,8.1,32.0,0.6,100.0,2.4,0.481,0.481,0.779
Ken Bannister,1990,PF,52,589.0,3.9615384615384617,0.34615384615384615,2.1538461538461537,0.1346153846153846,0.3269230769230769,0.8461538461538461,7.6,0.492,-6.2,0.006,112.0,10.9,39.0,73.0,18,4.3,17.0,1.4,7.0,0.7,0.478,0.478,0.473
Charles Barkley*,1990,SF,79,3085.0,25.17721518987342,3.8860759493670884,11.50632911392405,0.6329113924050633,1.8734177215189873,3.0759493670886076,27.1,0.661,9.8,0.078,909.0,16.7,361.0,548.0,307,15.6,148.0,2.4,50.0,1.0,0.6,0.608,0.749
Dana Barros,1990,PG,81,1630.0,9.654320987654321,2.5308641975308643,1.6296296296296295,0.012345679012345678,0.654320987654321,1.5185185185185186,12.8,0.497,-2.1,0.322,132.0,4.7,35.0,97.0,205,18.3,53.0,1.6,1.0,0.0,0.405,0.47,0.809
John Battle,1990,SG,60,1477.0,10.9,2.566666666666667,1.65,0.05,0.4666666666666667,1.4833333333333334,12.6,0.542,-3.2,0.024,99.0,3.9,27.0,72.0,154,15.3,28.0,0.9,3.0,0.1,0.506,0.507,0.756
Kenny Battle,1990,SG,59,729.0,4.101694915254237,0.6440677966101694,2.1016949152542375,0.1864406779661017,0.5932203389830508,0.5423728813559322,12.2,0.587,0.9,0.024,124.0,9.3,44.0,80.0,38,6.8,35.0,2.3,11.0,0.9,0.547,0.55,0.671
William Bedford,1990,C,42,246.0,2.8095238095238093,0.09523809523809523,1.380952380952381,0.40476190476190477,0.07142857142857142,0.5,9.5,0.438,-9.2,0.048,58.0,13.4,15.0,43.0,4,2.6,3.0,0.6,17.0,4.4,0.432,0.436,0.409
Benoit Benjamin,1990,C,71,2313.0,13.507042253521126,2.23943661971831,9.253521126760564,2.6338028169014085,0.8309859154929577,2.6338028169014085,16.7,0.578,1.9,0.001,657.0,16.2,156.0,501.0,159,10.1,59.0,1.2,187.0,4.8,0.526,0.526,0.732
Winston Bennett,1990,SF,55,990.0,6.1454545454545455,0.9818181818181818,3.418181818181818,0.18181818181818182,0.41818181818181815,1.1272727272727272,10.0,0.515,-3.2,0.0,188.0,10.6,84.0,104.0,54,8.1,23.0,1.2,10.0,0.6,0.479,0.479,0.667
Larry Bird*,1990,SF,75,2944.0,24.266666666666666,7.493333333333333,9.493333333333334,0.8133333333333334,1.4133333333333333,3.24,21.9,0.546,6.1,0.129,712.0,13.4,90.0,622.0,562,28.9,106.0,1.8,61.0,1.2,0.473,0.495,0.93
Uwe Blab,1990,C,47,531.0,2.0851063829787235,0.5319148936170213,2.297872340425532,0.46808510638297873,0.02127659574468085,0.7446808510638298,3.3,0.429,-6.4,0.0,108.0,10.9,29.0,79.0,25,5.8,1.0,0.1,22.0,2.3,0.398,0.398,0.541
Uwe Blab,1990,C,40,481.0,2.075,0.6,2.475,0.55,0.025,0.75,3.3,0.412,-6.0,0.0,99.0,11.0,28.0,71.0,24,6.1,1.0,0.1,22.0,2.5,0.379,0.379,0.548
Uwe Blab,1990,C,7,50.0,2.142857142857143,0.14285714285714285,1.2857142857142858,0.0,0.0,0.7142857142857143,3.1,0.55,-10.0,0.0,9.0,10.1,1.0,8.0,1,2.7,0.0,0.0,0.0,0.0,0.545,0.545,0.5
Rolando Blackman,1990,SG,80,2934.0,19.4,3.6125,3.5,0.2625,0.9625,2.175,17.0,0.552,0.5,0.034,280.0,5.4,88.0,192.0,289,16.3,77.0,1.3,21.0,0.4,0.498,0.504,0.844
